collection,item_id,datetime,cloud_percent,light_haze_percent,quality_category,collection_mode,location_description,sun_elevation,sun_azimuth,view_azimuth,off_nadir,gsd,bbox,centroid_lat,centroid_lon,asset_basic_beta_udm,asset_basic_radiance_hdf5,asset_basic_sr_hdf5,asset_geolocation_array,asset_ortho_beta_udm,asset_ortho_ql_ch4,asset_ortho_radiance_hdf5,asset_ortho_sr_hdf5,asset_ortho_visual,asset_ql_ch4_json,asset_recent_monthly_mosaic,asset_thumbnail
GHG-plumes,20241004_081921_28_4001,2024-10-04T08:19:21.283920Z,0,0,test,standard_sensitivity,"As-Sa'duni, Khasham Subdistrict, Deir ez-Zor District, Deir ez-Zor Governorate, Syria",48.6,161.8,273.1,2.8,39.12,"[40.19931555790359, 35.1517614491419, 40.513167367594555, 35.43527647962926]",35.293518964385584,40.35624146274907,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/basic_beta_udm/20241004_081921_28_4001_basic_beta_udm.tif,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/basic_radiance_hdf5/20241004_081921_28_4001_basic_radiance_hdf5.h5,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/basic_sr_hdf5/20241004_081921_28_4001_basic_sr_hdf5.h5,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/geolocation_array/20241004_081921_28_4001_geolocation_array.tif,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ortho_beta_udm/20241004_081921_28_4001_ortho_beta_udm.tif,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ortho_ql_ch4/20241004_081921_28_4001_ortho_ql_ch4.tif,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ortho_radiance_hdf5/20241004_081921_28_4001_ortho_radiance_hdf5.h5,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ortho_sr_hdf5/20241004_081921_28_4001_ortho_sr_hdf5.h5,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ortho_visual/20241004_081921_28_4001_ortho_visual.tif,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ql_ch4_json/20241004_081921_28_4001_ql_ch4_json.geojson,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/recent_monthly_mosaic/20241004_081921_28_4001_recent_monthly_mosaic.tif,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/thumbnail/20241004_081921_28_4001_thumb.png
GHG-plumes,20250226_065447_19_4001,2025-02-26T06:54:47.197859Z,74,100,standard,standard_sensitivity,"Purovsky Rayon, Yamalo-Nenets Autonomous Okrug, Ural Federal District, Russia",15.0,177.2,19.4,30.5,36.53,"[76.44794348176923, 66.32733893711156, 77.14972482954676, 66.61462353566591]",66.47098123638874,76.798834155658,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/basic_beta_udm/20250226_065447_19_4001_basic_beta_udm.tif,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/basic_radiance_hdf5/20250226_065447_19_4001_basic_radiance_hdf5.h5,,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/geolocation_array/20250226_065447_19_4001_geolocation_array.tif,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ortho_beta_udm/20250226_065447_19_4001_ortho_beta_udm.tif,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ortho_ql_ch4/20250226_065447_19_4001_ortho_ql_ch4.tif,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ortho_radiance_hdf5/20250226_065447_19_4001_ortho_radiance_hdf5.h5,,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ortho_visual/20250226_065447_19_4001_ortho_visual.tif,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ql_ch4_json/20250226_065447_19_4001_ql_ch4_json.geojson,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/recent_monthly_mosaic/20250226_065447_19_4001_recent_monthly_mosaic.tif,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/thumbnail/20250226_065447_19_4001_thumb.png
GHG-plumes,20241121_183741_33_4001,2024-11-21T18:37:41.349662Z,0,66,test,maximum_sensitivity,"Casa Grande, Pinal County, Arizona, United States",36.4,169.7,262.2,29.9,43.56,"[-111.97834347267553, 32.6794276333223, -111.62305795505833, 32.86348007412845]",32.771453853725376,-111.80070071386693,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/basic_beta_udm/20241121_183741_33_4001_basic_beta_udm.tif,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/basic_radiance_hdf5/20241121_183741_33_4001_basic_radiance_hdf5.h5,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/basic_sr_hdf5/20241121_183741_33_4001_basic_sr_hdf5.h5,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/geolocation_array/20241121_183741_33_4001_geolocation_array.tif,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ortho_beta_udm/20241121_183741_33_4001_ortho_beta_udm.tif,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ortho_ql_ch4/20241121_183741_33_4001_ortho_ql_ch4.tif,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ortho_radiance_hdf5/20241121_183741_33_4001_ortho_radiance_hdf5.h5,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ortho_sr_hdf5/20241121_183741_33_4001_ortho_sr_hdf5.h5,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ortho_visual/20241121_183741_33_4001_ortho_visual.tif,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ql_ch4_json/20241121_183741_33_4001_ql_ch4_json.geojson,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/recent_monthly_mosaic/20241121_183741_33_4001_recent_monthly_mosaic.tif,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/thumbnail/20241121_183741_33_4001_thumb.png
GHG-plumes,20250219_053251_31_4001,2025-02-19T05:32:51.310080Z,0,0,standard,standard_sensitivity,"Kusmunda, Katghora Tahsil, Korba, Chhattisgarh, 495454, India",52.3,151.1,319.9,0.2,36.01,"[82.54368810046248, 22.231597952731466, 82.78234878328922, 22.493381707878495]",22.36248983030498,82.66301844187585,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/basic_beta_udm/20250219_053251_31_4001_basic_beta_udm.tif,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/basic_radiance_hdf5/20250219_053251_31_4001_basic_radiance_hdf5.h5,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/basic_sr_hdf5/20250219_053251_31_4001_basic_sr_hdf5.h5,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/geolocation_array/20250219_053251_31_4001_geolocation_array.tif,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ortho_beta_udm/20250219_053251_31_4001_ortho_beta_udm.tif,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ortho_ql_ch4/20250219_053251_31_4001_ortho_ql_ch4.tif,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ortho_radiance_hdf5/20250219_053251_31_4001_ortho_radiance_hdf5.h5,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ortho_sr_hdf5/20250219_053251_31_4001_ortho_sr_hdf5.h5,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ortho_visual/20250219_053251_31_4001_ortho_visual.tif,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ql_ch4_json/20250219_053251_31_4001_ql_ch4_json.geojson,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/recent_monthly_mosaic/20250219_053251_31_4001_recent_monthly_mosaic.tif,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/thumbnail/20250219_053251_31_4001_thumb.png
GHG-plumes,20250423_134021_00_4001,2025-04-23T13:40:21Z,14,0,standard,glint,Brazil Offshore,48.5,25.9,211.7,26.3,47.55,"[-42.9547740964792, -25.418478833877003, -42.650096246858844, -25.057926160486236]",-25.238202497181618,-42.80243517166902,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/basic_beta_udm/20250423_134021_00_4001_basic_beta_udm.tif,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/basic_radiance_hdf5/20250423_134021_00_4001_basic_radiance_hdf5.h5,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/basic_sr_hdf5/20250423_134021_00_4001_basic_sr_hdf5.h5,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/geolocation_array/20250423_134021_00_4001_geolocation_array.tif,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ortho_beta_udm/20250423_134021_00_4001_ortho_beta_udm.tif,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ortho_ql_ch4/20250423_134021_00_4001_ortho_ql_ch4.tif,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ortho_radiance_hdf5/20250423_134021_00_4001_ortho_radiance_hdf5.h5,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ortho_sr_hdf5/20250423_134021_00_4001_ortho_sr_hdf5.h5,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ortho_visual/20250423_134021_00_4001_ortho_visual.tif,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ql_ch4_json/20250423_134021_00_4001_ql_ch4_json.geojson,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/recent_monthly_mosaic/20250423_134021_00_4001_recent_monthly_mosaic.tif,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/thumbnail/20250423_134021_00_4001_thumb.png
GHG-plumes,20250423_134026_31_4001,2025-04-23T13:40:26.310080Z,9,0,standard,glint,Brazil Offshore,48.2,25.8,211.6,26.3,47.61,"[-43.03083803278492, -25.754846274505724, -42.72616043410743, -25.39523489919485]",-25.575040586850285,-42.87849923344618,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/basic_beta_udm/20250423_134026_31_4001_basic_beta_udm.tif,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/basic_radiance_hdf5/20250423_134026_31_4001_basic_radiance_hdf5.h5,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/basic_sr_hdf5/20250423_134026_31_4001_basic_sr_hdf5.h5,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/geolocation_array/20250423_134026_31_4001_geolocation_array.tif,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ortho_beta_udm/20250423_134026_31_4001_ortho_beta_udm.tif,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ortho_ql_ch4/20250423_134026_31_4001_ortho_ql_ch4.tif,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ortho_radiance_hdf5/20250423_134026_31_4001_ortho_radiance_hdf5.h5,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ortho_sr_hdf5/20250423_134026_31_4001_ortho_sr_hdf5.h5,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ortho_visual/20250423_134026_31_4001_ortho_visual.tif,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ql_ch4_json/20250423_134026_31_4001_ql_ch4_json.geojson,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/recent_monthly_mosaic/20250423_134026_31_4001_recent_monthly_mosaic.tif,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/thumbnail/20250423_134026_31_4001_thumb.png
GHG-plumes,20250114_062056_92_4001,2025-01-14T06:20:56.925880Z,0,0,test,standard_sensitivity,"Ghazi, Rojhan Tehsil, Rajanpur District, Dera Ghazi Khan Division, Punjab, Pakistan",38.0,159.4,121.1,7.2,36.78,"[69.60383565011445, 27.88233505649382, 69.86323204744868, 28.160856253755565]",28.021595655124692,69.73353384878156,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/basic_beta_udm/20250114_062056_92_4001_basic_beta_udm.tif,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/basic_radiance_hdf5/20250114_062056_92_4001_basic_radiance_hdf5.h5,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/basic_sr_hdf5/20250114_062056_92_4001_basic_sr_hdf5.h5,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/geolocation_array/20250114_062056_92_4001_geolocation_array.tif,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ortho_beta_udm/20250114_062056_92_4001_ortho_beta_udm.tif,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ortho_ql_ch4/20250114_062056_92_4001_ortho_ql_ch4.tif,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ortho_radiance_hdf5/20250114_062056_92_4001_ortho_radiance_hdf5.h5,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ortho_sr_hdf5/20250114_062056_92_4001_ortho_sr_hdf5.h5,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ortho_visual/20250114_062056_92_4001_ortho_visual.tif,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ql_ch4_json/20250114_062056_92_4001_ql_ch4_json.geojson,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/recent_monthly_mosaic/20250114_062056_92_4001_recent_monthly_mosaic.tif,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/thumbnail/20250114_062056_92_4001_thumb.png
GHG-plumes,20250703_063928_86_4001,2025-07-03T06:39:28.862430Z,1,0,standard,standard_sensitivity,"Kurgancha, Baliqchi District, Andijan Region, 170300, Uzbekistan",70.7,152.9,111.7,19.7,37.49,"[71.61545618218229, 40.41481053383, 71.94739165110883, 40.690709577690974]",40.55276005576049,71.78142391664556,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/basic_beta_udm/20250703_063928_86_4001_basic_beta_udm.tif,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/basic_radiance_hdf5/20250703_063928_86_4001_basic_radiance_hdf5.h5,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/basic_sr_hdf5/20250703_063928_86_4001_basic_sr_hdf5.h5,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/geolocation_array/20250703_063928_86_4001_geolocation_array.tif,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ortho_beta_udm/20250703_063928_86_4001_ortho_beta_udm.tif,,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ortho_radiance_hdf5/20250703_063928_86_4001_ortho_radiance_hdf5.h5,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ortho_sr_hdf5/20250703_063928_86_4001_ortho_sr_hdf5.h5,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ortho_visual/20250703_063928_86_4001_ortho_visual.tif,,,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/thumbnail/20250703_063928_86_4001_thumb.png
energy-mining,20250205_175845_00_4001,2025-02-05T17:58:45Z,0,0,standard,standard_sensitivity,"Eddy County, New Mexico, United States",38.6,158.0,92.8,16.1,38.23,"[-104.04934216451993, 32.73796374223331, -103.75954828506612, 33.01548231991859]",32.876723031075954,-103.90444522479302,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/basic_beta_udm/20250205_175845_00_4001_basic_beta_udm.tif,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/basic_radiance_hdf5/20250205_175845_00_4001_basic_radiance_hdf5.h5,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/basic_sr_hdf5/20250205_175845_00_4001_basic_sr_hdf5.h5,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/geolocation_array/20250205_175845_00_4001_geolocation_array.tif,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ortho_beta_udm/20250205_175845_00_4001_ortho_beta_udm.tif,,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ortho_radiance_hdf5/20250205_175845_00_4001_ortho_radiance_hdf5.h5,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ortho_sr_hdf5/20250205_175845_00_4001_ortho_sr_hdf5.h5,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ortho_visual/20250205_175845_00_4001_ortho_visual.tif,,,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/thumbnail/20250205_175845_00_4001_thumb.png
energy-mining,20250221_102048_16_4001,2025-02-21T10:20:48.165094Z,0,0,standard,standard_sensitivity,"Jelanjska, Stanari Municipality, Republika Srpska, Bosnia and Herzegovina",34.1,167.7,249.1,29.5,39.12,"[17.665750595313153, 44.699963042492975, 18.049735380834196, 44.86300453892679]",44.781483790709885,17.857742988073674,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/basic_beta_udm/20250221_102048_16_4001_basic_beta_udm.tif,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/basic_radiance_hdf5/20250221_102048_16_4001_basic_radiance_hdf5.h5,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/basic_sr_hdf5/20250221_102048_16_4001_basic_sr_hdf5.h5,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/geolocation_array/20250221_102048_16_4001_geolocation_array.tif,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ortho_beta_udm/20250221_102048_16_4001_ortho_beta_udm.tif,,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ortho_radiance_hdf5/20250221_102048_16_4001_ortho_radiance_hdf5.h5,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ortho_sr_hdf5/20250221_102048_16_4001_ortho_sr_hdf5.h5,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ortho_visual/20250221_102048_16_4001_ortho_visual.tif,,,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/thumbnail/20250221_102048_16_4001_thumb.png
