month,detections,sources_500m,unique_scenes,quantified,hidden_or_unquantified,quantified_percent
2024-10,1,1,1,0,1,0.0
2024-12,2,2,2,1,1,50.0
2025-01,6,6,4,4,2,66.7
2025-02,14,9,8,7,7,50.0
2025-03,12,8,9,7,5,58.3
2025-04,27,15,14,14,13,51.9
2025-05,18,14,12,12,6,66.7
2025-06,30,17,14,16,14,53.3
2025-07,13,10,10,9,4,69.2
2025-08,36,18,19,23,13,63.9
2025-09,24,16,15,10,14,41.7
2025-10,10,9,7,6,4,60.0
2025-11,28,21,18,18,10,64.3
2025-12,28,22,17,18,10,64.3
2026-01,16,13,11,10,6,62.5
2026-02,8,7,8,4,4,50.0
2026-03,51,30,29,33,18,64.7
2026-04,27,20,15,16,11,59.3
2026-05,27,17,19,17,10,63.0
2026-06,7,7,5,4,3,57.1
