sensor_a,sensor_b,plume_a,plume_b,dist_km,dt_hours,dt_bin,rate_a_kg_hr,rate_b_kg_hr,rate_ratio_a_over_b,lat,lon
EMIT,Tanager,emi20241219t063305p04012-A,tan20241219t040749c00s4001-A,0.05,-2.4,<3h (same overpass),,1750.213330079008,,13.57936799402968,100.67071300157772
EMIT,Tanager,emi20250920t051048p04003-A,tan20250916t034208c84s4001-A,0.23,-97.5,<7d,,,,-7.526733624871909,112.70905409975512
EMIT,Tanager,emi20241219t063253p04011-A,tan20250103t041216c00s4001-A,0.05,357.7,<30d,4584.030922378851,3181.4461924301254,1.4408638855140816,14.0531941214809,99.96127225399675
EMIT,Tanager,emi20250126t050409p04009-A,tan20250103t041216c00s4001-B,1.14,-552.9,<30d,,1216.3736193751297,,14.057756437339492,99.96184644073662
EMIT,Tanager,emi20250125t055258p04011-A,tan20241231t042918c00s4001-A,0.05,-601.4,<30d,670.8790216746484,,,16.89514610623229,96.0245254167437
EMIT,GHGSat,emi20230122t080421p06002-B,GHGSat_site115_20221221,1.26,-769.6,>=30d,,2135.274953189297,,14.056824589201996,99.96163301406528
EMIT,Tanager,emi20250830t023147p01013-A,tan20250709t042254c33s4001-A,0.45,-1246.1,>=30d,8894.168676165245,2482.567869705624,3.5826487503924276,3.188845487822476,101.35737542822932
TROPOMI,Tanager,SRON_20260118T064723_19,tan20251118t051703c40s4001-B,5.08,-1465.5,>=30d,20000.0,1049.237095773129,19.06146864285524,21.63,94.71
EMIT,Tanager,emi20241202t022601p02010-A,tan20250205t040403c00s4001-C,0.07,1561.6,>=30d,1580.927403538527,,,11.484067085766624,104.88572119663752
EMIT,Tanager,emi20250213t082615p06026-B,tan20250422t044821c00s4001-B,0.26,1628.4,>=30d,,173.1492028208006,,16.91685991893739,96.18648879998808
EMIT,GHGSat,EMIT_L2B_CH4PLM_002_20230225T050608_000721,GHGSat_site115_20221218,1.02,-1654.5,>=30d,932.418,3918.3409230244943,0.2379624484743109,14.049772987012991,99.9650633766234
TROPOMI,Tanager,SRON_20260128T065957_20,tan20251118t051703c40s4001-A,9.55,-1705.7,>=30d,10000.0,957.6335266295428,10.442408000475599,21.68,94.71
TROPOMI,Tanager,SRON_20260129T064120_21,tan20251111t051619c41s4001-A,6.53,-1897.4,>=30d,12000.0,599.7188014584539,20.009377679701295,21.6,94.59
EMIT,Tanager,emi20250125t055258p04011-B,tan20250422t044821c00s4001-A,0.27,2086.9,>=30d,624.009512405634,259.8509525968915,2.401413218498622,16.91857618431102,96.18495268923972
EMIT,Tanager,emi20241024t044504p03030-A,tan20250131t041801c00s4001-A,0.59,2375.5,>=30d,1400.8038954005135,1593.6892643769584,0.8789692738177213,13.579477390396434,100.670855414845
EMIT,GHGSat,EMIT_L2B_CH4PLM_002_20230424T060859_000857,GHGSat_site115_20221216,0.98,-3095.5,>=30d,,787.9273968828214,,14.04809074074074,99.96656790123455
EMIT,Tanager,emi20240802t024351p02002-A,tan20250403t032440c00s4001-A,0.07,5856.7,>=30d,,9937.796080744163,,22.54693459460968,114.1724757959397
EMIT,Tanager,EMIT_L2B_CH4PLM_002_20240823T051729_003475,tan20250509t042443c00s4001-A,1.24,6215.1,>=30d,,329.24136414177843,,13.582026699029132,100.68237417475729
EMIT,Tanager,emi20250826t041241p02036-A,tan20260514t042633c39s4001-B,0.13,6264.2,>=30d,972.5012102279286,250.26391462540224,3.8859026547378157,-6.800182728091599,107.3470318555474
EMIT,GHGSat,emi20230921t074856p05002-C,GHGSat_site41_20221231,0.42,-6342.0,>=30d,,7386.780319754182,,22.421047080502177,113.93333537476012
EMIT,Tanager,emi20250217t065009p05036-A,tan20251128t045302c00s4001-A,0.48,6814.0,>=30d,,6887.668552815755,,14.057993390463524,99.9619118116089
EMIT,Tanager,emi20250213t082615p06026-A,tan20251202t051959c54s4001-B,0.36,7004.9,>=30d,914.2227231453307,247.9880880512738,3.686559021158738,16.89466127244934,96.02452678169476
EMIT,Tanager,emi20240429t030438p02038-A,tan20250217t034814c00s4001-A,0.26,7056.7,>=30d,,,,10.665388810491748,106.67039969131588
EMIT,Tanager,emi20240323t065641p05002-A,tan20250205t040403c00s4001-A,0.43,7653.1,>=30d,,1568.696737355656,,11.48844818841927,104.88571560749648
EMIT,Tanager,emi20240426t035431p03032-A,tan20250315t033841c00s4001-A,0.14,7751.7,>=30d,1314.670801661274,538.6365245183308,2.4407383120498602,13.742614444075173,109.13399817883698
EMIT,Tanager,emi20250202t010155p01009-A,tan20260111t034322c00s4001-A,0.09,8234.7,>=30d,3870.6232797376415,715.9359162580171,5.406382319758774,15.297852954828016,120.52096191622172
EMIT,Tanager,emi20240216t075630p05016-A,tan20250205t040403c00s4001-B,1.17,8516.1,>=30d,2512.3431029257554,1608.598392539554,1.561821219378086,11.48730472410675,104.88189787883248
EMIT,GHGSat,emi20231220t070651p05014-A,GHGSat_site115_20221216,2.21,-8856.5,>=30d,,374.0767848434657,,14.055903228531278,99.96219044192634
EMIT,GHGSat,emi20231220t070651p05014-B,GHGSat_site115_20221216,0.16,-8856.5,>=30d,1857.2897416632445,1661.7122370739278,1.1176963737919539,14.056901739854894,99.97362074579792
EMIT,GHGSat,emi20240202t025201p02005-B,GHGSat_site40_20221231,0.51,-9549.2,>=30d,,4887.801634078885,,22.54702509590089,114.17286776076185
EMIT,GHGSat,emi20240202t025201p02005-A,GHGSat_site41_20221228,0.35,-9621.0,>=30d,3562.938536703463,6642.405130865466,0.5363928376104986,22.41996841347047,113.93374264970288
