sensor,plume_id,gas,datetime,lat,lon,emission_kg_hr,uncertainty_kg_hr,wind_m_s,sector,gsd_m,hidden_emission,source
EMIT (CarbonMapper),emi20250920t051048p04003-A,CH4,2025-09-20 05:10:48+00:00,-7.526733624871909,112.70905409975512,,,3.314814814814815,other,,True,CarbonMapper API
EMIT (CarbonMapper),emi20250830t023147p01013-A,CH4,2025-08-30 02:31:47+00:00,3.188845487822476,101.35737542822932,8894.168676165245,3997.0732305447036,1.3703703703703702,6A,,False,CarbonMapper API
EMIT (CarbonMapper),emi20250830t023147p01013-B,CH4,2025-08-30 02:31:47+00:00,3.489195928757226,101.47373336158478,2510.2671280395916,1525.5240687438761,0.6759259259259259,6A,,False,CarbonMapper API
EMIT (CarbonMapper),emi20250826t041241p02036-A,CH4,2025-08-26 04:12:41+00:00,-6.800182728091599,107.34703185554741,972.5012102279286,351.5722353168821,0.7777777777777778,6A,,False,CarbonMapper API
EMIT (CarbonMapper),emi20250218t060155p04034-A,CH4,2025-02-18 06:01:55+00:00,15.14896002976252,105.05029019052876,,,1.4074074074074072,other,,True,CarbonMapper API
EMIT (CarbonMapper),emi20250217t065009p05036-A,CH4,2025-02-17 06:50:09+00:00,14.057993390463523,99.9619118116089,,,2.0462962962962963,6A,,True,CarbonMapper API
EMIT (CarbonMapper),emi20250213t082615p06026-A,CH4,2025-02-13 08:26:15+00:00,16.89466127244934,96.02452678169476,914.2227231453309,462.1241999679385,1.212962962962963,6A,,False,CarbonMapper API
EMIT (CarbonMapper),emi20250213t082615p06026-B,CH4,2025-02-13 08:26:15+00:00,16.91685991893739,96.18648879998807,,,0.7777777777777777,6A,,True,CarbonMapper API
EMIT (CarbonMapper),emi20250202t010155p01009-A,CH4,2025-02-02 01:01:55+00:00,15.297852954828016,120.52096191622172,3870.6232797376415,877.4684219644014,0.9074074074074074,6A,,False,CarbonMapper API
EMIT (CarbonMapper),emi20250126t050409p04009-A,CH4,2025-01-26 05:04:09+00:00,14.057756437339492,99.96184644073662,,,0.47222222222222215,6A,,True,CarbonMapper API
EMIT (CarbonMapper),emi20250125t055258p04011-A,CH4,2025-01-25 05:52:58+00:00,16.89514610623229,96.0245254167437,670.8790216746484,291.0236549373874,1.1851851851851853,6A,,False,CarbonMapper API
EMIT (CarbonMapper),emi20250125t055258p04011-B,CH4,2025-01-25 05:52:58+00:00,16.91857618431102,96.18495268923971,624.009512405634,187.7276578426633,0.9629629629629629,6A,,False,CarbonMapper API
EMIT (CarbonMapper),emi20241219t063305p04012-A,CH4,2024-12-19 06:33:05+00:00,13.579367994029681,100.67071300157772,,,3.4166666666666665,6A,,True,CarbonMapper API
EMIT (CarbonMapper),emi20241219t063253p04011-A,CH4,2024-12-19 06:32:53+00:00,14.0531941214809,99.96127225399675,4584.030922378851,1342.3031632767652,5.416666666666667,6A,,False,CarbonMapper API
EMIT (CarbonMapper),emi20241202t022601p02010-A,CH4,2024-12-02 02:26:01+00:00,11.484067085766625,104.88572119663752,1580.927403538527,855.0903823314555,3.694444444444444,6A,,False,CarbonMapper API
EMIT (CarbonMapper),emi20241127t045106p04010-A,CH4,2024-11-27 04:51:06+00:00,14.056368524102325,99.96104153735467,2504.2036620223366,997.581294779542,4.1759259259259265,6A,,False,CarbonMapper API
EMIT (CarbonMapper),emi20241024t044504p03030-A,CH4,2024-10-24 04:45:04+00:00,13.579477390396434,100.670855414845,1400.8038954005137,799.9618535950863,1.4907407407407407,6A,,False,CarbonMapper API
EMIT (CarbonMapper),emi20241024t044504p03030-B,CH4,2024-10-24 04:45:04+00:00,13.732814783145258,100.9861427861548,1495.7051635486034,516.2253307349781,1.8703703703703702,6A,,False,CarbonMapper API
EMIT (CarbonMapper),emi20240802t024351p02002-A,CH4,2024-08-02 02:43:51+00:00,22.54693459460968,114.1724757959397,,,2.7962962962962963,6A,,True,CarbonMapper API
EMIT (CarbonMapper),emi20240615t083425p06019-A,CH4,2024-06-15 08:34:25+00:00,14.059606026880715,99.96531084459309,1550.432878931685,502.2965084822123,4.222222222222221,6A,,False,CarbonMapper API
EMIT (CarbonMapper),emi20240429t030438p02038-A,CH4,2024-04-29 03:04:38+00:00,10.665388810491748,106.67039969131588,,,1.2592592592592593,6A,,True,CarbonMapper API
EMIT (CarbonMapper),emi20240426t035431p03032-A,CH4,2024-04-26 03:54:31+00:00,13.742614444075173,109.13399817883698,1314.670801661274,843.965034344309,3.194444444444444,6A,,False,CarbonMapper API
EMIT (CarbonMapper),emi20240417t080011p05030-A,CH4,2024-04-17 08:00:11+00:00,14.058208506888079,99.96208667354983,2132.0886571290807,1195.0127825034708,2.981481481481481,6A,,False,CarbonMapper API
EMIT (CarbonMapper),emi20240323t065641p05002-A,CH4,2024-03-23 06:56:41+00:00,11.48844818841927,104.88571560749648,,,2.3518518518518516,6A,,True,CarbonMapper API
EMIT (CarbonMapper),emi20240322t074401p05002-A,CH4,2024-03-22 07:44:01+00:00,13.584705297368501,100.67136473946101,4340.360148643227,1913.7459108192077,3.8796296296296298,6A,,False,CarbonMapper API
EMIT (CarbonMapper),emi20240223t052749p04022-A,CH4,2024-02-23 05:27:49+00:00,16.92078112889459,96.18379081294472,239.05161072289113,117.34968547296032,0.6481481481481481,6A,,False,CarbonMapper API
EMIT (CarbonMapper),emi20240216t075630p05016-A,CH4,2024-02-16 07:56:30+00:00,11.48730472410675,104.88189787883249,2512.3431029257554,523.2288436238924,2.4629629629629632,6A,,False,CarbonMapper API
EMIT (CarbonMapper),emi20240205t020120p02004-A,CH4,2024-02-05 02:01:20+00:00,13.767723682738506,101.40333043334266,279.8290913034779,157.5469537946866,0.4166666666666667,6A,,False,CarbonMapper API
