site_ID,lat,lon,year,month,day,hour,minute,second,Q_t_per_hr,Q_error_t_per_hr,wind_speed_m_per_s,sat_ID,obs_ID,date,IME_kg,intermediate_results_L_m,intermediate_results_effective_wind_speed_m_per_s,conversion_ch4_ppb_to_molm2,manually_pinned_sources,plume_tif_file_name,sensor,datetime,emission_kg_hr,uncertainty_kg_hr,source
39,23.26379742,113.48218468,2021,10,4,2,10,47,6.437353936762809,3.2674737114119616,1.96,2,AVpBFgj,2021-10-04 02:10:47,4184.146928154881,3103.6772475281787,1.3264,0.0003532332,(23.263700;113.482200),C2_20211004_20220423_AVpBFgj_2210_CH4PL.tif,GHGSat (open sample),2021-10-04 02:10:47+00:00,6437.353936762809,3267.4737114119616,GHGSat open Zenodo release (2021-2022)
40,22.54594829,114.17103003,2021,11,8,3,0,3,10.049022846248084,2.59408465305013,7.01,1,7WNEIgO,2021-11-08 03:00:03,728.9020964933643,794.7067518774853,3.0434,0.0003550825,(22.547400;114.172700),C1_20211108_20231109_7WNEIgO_19615_CH4PL.tif,GHGSat (open sample),2021-11-08 03:00:03+00:00,10049.022846248085,2594.08465305013,GHGSat open Zenodo release (2021-2022)
40,22.54672,114.16968,2021,11,26,2,8,5,31.89436774683525,13.848093887672515,2.84,2,AWf5IgO,2021-11-26 02:08:05,18238.57808326948,3346.5180424019286,1.6256,0.0003550825,(22.546900;114.169800),C2_20211126_20220421_AWf5IgO_2584_CH4PL.tif,GHGSat (open sample),2021-11-26 02:08:05+00:00,31894.36774683525,13848.093887672516,GHGSat open Zenodo release (2021-2022)
40,22.53937061,114.16737497,2021,12,3,2,54,22,11.549595899268066,4.206562447765141,4.33,1,7Wm6ngO,2021-12-03 02:54:22,2581.484679270941,1715.6678079589915,2.1322,0.0003550825,(22.541600;114.168700),C1_20211203_20220422_7Wm6ngO_2880_CH4PL.tif,GHGSat (open sample),2021-12-03 02:54:22+00:00,11549.595899268066,4206.562447765142,GHGSat open Zenodo release (2021-2022)
40,22.55113726,114.16857719,2021,12,9,2,56,33,9.203004554624137,4.122129525068552,2.71,1,7Ws6IgO,2021-12-09 02:56:33,1852.583474134692,1146.0204935233253,1.5814,0.0003550825,(22.547400;114.171600),C1_20211209_20220421_7Ws6IgO_2787_CH4PL.tif,GHGSat (open sample),2021-12-09 02:56:33+00:00,9203.004554624136,4122.1295250685525,GHGSat open Zenodo release (2021-2022)
40,22.54431052,114.1750263,2022,9,12,5,52,23,1.803586499091143,0.8260495094101377,2.6,3,DaBIIgO,2022-09-12 05:52:23,165.1372988369479,508.9299361676504,1.544,0.0003550825,(22.545400;114.174200),C3_20220912_20220916_DaBIIgO_6041_CH4PL.tif,GHGSat (open sample),2022-09-12 05:52:23+00:00,1803.586499091143,826.0495094101377,GHGSat open Zenodo release (2021-2022)
40,22.54597173,114.17135574,2022,9,12,5,52,23,5.691694834050259,2.6154083585663,2.6,3,DaBIIgO,2022-09-12 05:52:23,2292.972344487041,2239.272809102299,1.544,0.0003550825,(22.546500;114.171500),C3_20220912_20220916_DaBIIgO_6040_CH4PL.tif,GHGSat (open sample),2022-09-12 05:52:23+00:00,5691.6948340502595,2615.4083585663,GHGSat open Zenodo release (2021-2022)
40,22.54299354,114.16974836,2022,10,26,5,50,33,6.432330813435001,2.942587671167684,2.53,3,Dat9IgO,2022-10-26 05:50:33,1883.698159985673,1602.6776130022447,1.5202,0.0003550825,(22.543900;114.169300),C3_20221026_20221028_Dat9IgO_7279_CH4PL.tif,GHGSat (open sample),2022-10-26 05:50:33+00:00,6432.330813435001,2942.587671167684,GHGSat open Zenodo release (2021-2022)
40,22.54635203,114.16886895,2022,10,27,1,44,45,3.994623883217602,1.810215425374558,2.58,2,-au5IgO,2022-10-27 01:44:45,776.4641976663767,1075.6684179459828,1.5372,0.0003550825,(22.547100;114.169800),C2_20221027_20221101_-au5IgO_7306_CH4PL.tif,GHGSat (open sample),2022-10-27 01:44:45+00:00,3994.623883217602,1810.215425374558,GHGSat open Zenodo release (2021-2022)
40,22.54554506,114.16806624,2022,10,27,5,39,38,5.7942800275701485,3.2212597594001786,1.44,3,Dau9IgO,2022-10-27 05:39:38,1594.1231951669915,1138.6012514408862,1.1496,0.0003550825,(22.548400;114.171700),C3_20221027_20221029_Dau9IgO_7289_CH4PL.tif,GHGSat (open sample),2022-10-27 05:39:38+00:00,5794.280027570148,3221.2597594001786,GHGSat open Zenodo release (2021-2022)
40,22.54496553,114.16995287,2022,12,9,1,56,38,18.13160856074299,6.6715224513986575,4.09,2,-b_4ngO,2022-12-09 01:56:38,5652.682600484357,2301.4509300812774,2.0506,0.0003550825,(22.545000;114.170300),C2_20221209_20221221_-b_4ngO_8533_CH4PL.tif,GHGSat (open sample),2022-12-09 01:56:38+00:00,18131.60856074299,6671.522451398658,GHGSat open Zenodo release (2021-2022)
