,date,time_UTC,lat,lon,source_rate_t/h,uncertainty_t/h
0,20250823,09:44:51,31.24,49.41,27,11
1,20250823,09:46:41,39.11,53.73,169,60
2,20250823,09:49:39,48.5,44.42,39,13
3,20250823,11:12:57,-16.15,33.68,17,7
4,20250824,09:27:16,37.86,62.66,35,11
5,20250824,09:27:31,38.18,53.88,100,45
6,20250824,09:27:59,39.5,53.7,125,48
7,20250824,19:34:44,32.18,-93.55,54,28
8,20250825,03:47:18,-21.13,148.14,15,6
9,20250825,07:31:05,51.65,75.36,38,17
10,20250825,09:08:04,37.13,62.97,57,18
11,20250825,09:08:37,38.06,58.6,24,8
12,20250825,09:09:01,38.5,54.09,187,57
13,20250825,09:09:17,39.37,53.74,171,54
14,20250825,09:12:30,50.03,46.88,65,30
15,20250826,03:25:14,-32.82,150.98,69,41
16,20250826,07:12:29,51.81,76.36,55,19
17,20250826,08:49:19,36.89,61.57,84,28
18,20250826,08:49:16,36.88,62.56,35,12
19,20250826,08:50:29,38.75,54.61,208,65
20,20250826,08:50:43,39.45,53.7,120,39
21,20250826,10:33:09,45.22,34.15,16,7
22,20250826,18:37:10,-35.16,-59.09,61,23
23,20250826,20:39:58,36.18,-119.29,20,8
24,20250827,06:53:54,51.67,75.47,24,8
25,20250827,08:32:03,40.93,58.7,28,11
26,20250827,10:11:02,35.49,50.88,83,57
27,20250827,10:11:58,38.78,54.58,70,48
28,20250827,10:12:14,39.52,54.21,77,55
29,20250827,18:18:22,-34.71,-58.91,58,21
30,20250828,08:12:19,37.62,61.82,116,42
31,20250828,09:52:04,35.45,51.31,94,40
32,20250828,09:53:07,39.34,53.47,264,97
33,20250828,09:57:07,50.28,35.46,43,26
34,20250828,17:59:41,-34.52,-58.6,57,19
35,20250829,04:12:14,-21.73,148.28,34,15
36,20250829,09:33:29,37.32,62.04,111,39
37,20250829,09:35:14,43.44,58.31,37,15
38,20250829,09:35:24,43.24,53.21,52,28
39,20250829,17:40:55,-34.57,-58.66,45,21
