,date,time_UTC,lat,lon,source_rate_t/h,uncertainty_t/h
0,20251025,06:47:20,54.03,87.49,26,17
1,20251025,06:47:39,54.25,85.89,29,13
2,20251025,08:21:01,24.85,67.16,103,51
3,20251025,08:22:50,33.61,72.84,12,4
4,20251025,08:26:02,42.06,59.95,34,27
5,20251025,10:05:18,37.75,53.91,67,46
6,20251025,10:05:48,39.47,53.75,102,32
7,20251025,11:31:41,-16.12,33.75,23,7
8,20251025,11:44:41,29.99,31.45,29,11
9,20251026,09:43:17,24.35,47.11,18,7
10,20251026,09:44:52,31.19,49.06,74,24
11,20251026,09:46:22,37.68,61.58,48,18
12,20251026,09:46:39,38.65,54.3,102,39
13,20251026,09:46:56,39.5,53.76,76,32
14,20251026,09:48:02,43.58,52.75,58,20
15,20251026,17:53:31,-34.52,-58.61,52,21
16,20251026,18:14:52,39.82,-80.51,62,29
17,20251027,06:03:49,35.7,112.51,58,32
18,20251027,06:04:06,36.65,109.8,25,14
19,20251027,07:47:50,41.18,69.32,14,6
20,20251027,07:50:05,51.74,75.5,33,11
21,20251027,09:26:20,31.14,48.97,22,11
22,20251027,09:26:27,32.69,51.8,13,10
23,20251027,09:27:16,35.68,51.37,33,17
24,20251027,11:07:19,32.16,36.23,11,5
25,20251027,11:08:09,34.98,40.47,18,9
26,20251027,12:47:39,28.1,9.95,9,5
27,20251027,12:51:48,40.13,-3.79,5,3
28,20251027,19:35:42,32.1,-104.12,33,25
29,20251028,05:44:54,35.46,112.6,110,39
30,20251028,07:31:22,51.71,75.41,33,16
31,20251028,09:08:14,36.47,59.66,39,24
32,20251028,09:08:28,37.66,61.75,33,14
33,20251028,09:08:31,37.32,60.3,15,9
34,20251028,09:08:34,35.12,51.66,31,23
35,20251028,09:09:13,38.69,54.23,48,20
36,20251028,09:09:12,39.63,57.85,5,2
37,20251028,09:09:30,39.4,53.71,88,43
38,20251028,09:11:05,46.61,59.02,204,65
39,20251028,10:46:03,24.28,47.13,38,14
40,20251028,10:49:02,34.57,38.76,8,3
41,20251028,10:49:14,35.32,40.48,32,12
42,20251028,12:28:59,28.11,9.65,11,8
43,20251028,20:59:21,37.61,-121.13,19,9
44,20251029,08:49:45,38.43,65.57,8,6
45,20251029,08:50:03,39.02,63.41,10,4
46,20251029,08:50:21,40.22,63.44,55,21
47,20251029,08:50:40,38.64,54.29,48,16
48,20251029,08:50:33,40.64,61.53,14,5
49,20251029,10:27:05,24.22,46.99,45,14
50,20251029,10:29:05,31.42,48.62,25,11
51,20251029,10:30:13,35.4,51.6,90,48
52,20251030,08:31:13,37.68,61.99,41,15
53,20251030,08:31:26,37.5,60.14,85,42
54,20251030,08:31:35,41.27,69.17,7,4
55,20251030,08:31:39,40.18,63.47,11,4
56,20251030,10:09:55,30.65,50.09,97,37
57,20251030,10:10:07,31.22,48.82,64,32
58,20251030,10:11:09,34.86,52.69,48,18
59,20251030,10:11:30,34.39,41.27,30,11
60,20251030,20:18:07,27.9,-99.42,11,5
61,20251030,20:19:49,33.5,-104.27,31,13
62,20251031,06:30:15,38.82,106.28,16,7
63,20251031,08:11:43,38.71,79.95,14,4
64,20251031,09:50:49,28.76,48.18,40,14
65,20251031,09:51:23,31.19,48.77,29,14
66,20251031,09:51:13,30.78,49.91,34,18
67,20251031,09:51:40,31.43,45.75,30,10
68,20251031,09:52:23,35.48,51.32,48,18
69,20251031,09:53:00,38.26,53.92,66,21
70,20251031,09:53:25,39.44,53.75,45,24
71,20251031,13:14:13,31.88,5.99,18,11
72,20251031,19:59:30,29.09,-95.89,33,25
73,20251031,20:00:35,32.33,-101.85,71,25
74,20251031,20:00:31,32.73,-96.57,18,6
