,id,date,time_UTC,lat,lon,source_rate_t/h,uncertainty_t/h,source_type,source_country,dist_to_nearest_known_source_km
0,43512_32_20_2544_80_S5P,20260307,08:28:49,21.18,72.76,17,7,Gas,India,10
1,43512_32_20_2560_96_S5P,20260307,08:29:05,22.35,72.6,19,13,Oil,India,64
2,43512_32_20_2656_32_S5P,20260307,08:30:12,24.9,67.19,112,43,Landfill,Pakistan,22
3,43512_32_20_2928_32_S5P,20260307,08:34:03,37.71,61.84,56,25,Landfill,Turkmenistan,26
4,43515_32_20_2752_176_S5P,20260307,13:36:03,32.27,5.35,30,12,Landfill,Algeria,78
5,43514_32_20_3120_144_S5P,20260307,11:59:48,49.98,18.66,9,3,Coal,Poland,2
6,43526_32_20_2576_32_S5P,20260308,08:10:20,22.1,73.11,17,8,Oil,India,18
7,43526_32_20_2608_32_S5P,20260308,08:10:35,23.11,72.6,25,13,Oil,India,16
8,43526_32_20_2656_80_S5P,20260308,08:11:20,26.75,75.99,22,8,Landfill,India,23
9,43539_32_20_2832_128_S5P,20260309,06:13:09,36.04,107.89,29,12,Oil,China,42
10,43542_32_20_3168_128_S5P,20260309,11:22:39,53.36,26.7,25,8,Landfill,Belarus,654
11,43546_32_20_2944_32_S5P,20260309,18:05:21,40.03,-80.12,108,55,Coal,United States,26
12,43552_32_20_2992_96_S5P,20260310,04:15:04,43.67,132.22,12,5,Landfill,Russian Federation,208
13,43555_32_20_2592_176_S5P,20260310,09:13:53,24.77,68.04,170,59,Landfill,Pakistan,82
14,43569_32_20_2544_160_S5P,20260311,08:54:25,23.01,72.33,16,9,Oil,India,23
15,43569_32_20_2592_128_S5P,20260311,08:55:06,24.95,67.81,102,35,Landfill,Pakistan,77
16,43570_32_20_3072_144_S5P,20260311,10:43:31,49.8,39.81,53,25,Gas,Russian Federation,209
17,43581_32_20_2752_64_S5P,20260312,05:15:39,32.84,116.65,30,13,Coal,China,10
18,43583_32_20_2544_96_S5P,20260312,08:35:33,22.97,72.53,75,34,Oil,India,2
19,43584_32_20_3056_96_S5P,20260312,10:24:24,48.52,38.54,8,3,Gas,Ukraine,40
20,43584_32_20_3088_80_S5P,20260312,10:24:45,49.41,36.62,12,4,Gas,Ukraine,7
21,43586_32_20_2240_80_S5P,20260312,13:43:08,33.51,-7.54,20,9,Landfill,Morocco,3
22,43597_32_20_2512_48_S5P,20260313,08:16:22,21.01,72.74,32,12,Gas,India,12
23,43597_32_20_2528_48_S5P,20260313,08:16:41,22.16,72.96,14,8,Oil,India,27
24,43597_32_20_2560_32_S5P,20260313,08:16:49,22.59,72.48,31,15,Oil,India,43
25,43597_32_20_2576_48_S5P,20260313,08:17:03,23.57,72.39,22,8,Oil,India,7
26,43603_32_20_2800_16_S5P,20260313,18:29:26,33.98,-87.07,24,13,Coal,United States,67
27,43604_32_20_2576_112_S5P,20260313,20:07:51,25.61,-100.01,27,11,Gas,Mexico,41
28,43604_32_20_2624_144_S5P,20260313,20:08:26,28.26,-98.3,15,5,Gas,United States,102
29,43604_32_20_2704_96_S5P,20260313,20:09:39,31.88,-103.49,53,23,Oil,United States,36
