,date,time_UTC,lat,lon,source_rate_t/h,uncertainty_t/h
0,20260621,07:13:02,50.72,74.81,48,16
1,20260621,07:13:06,54.1,86.98,57,22
2,20260621,07:13:14,54.55,86.17,50,18
3,20260621,13:53:11,33.55,-7.45,28,15
4,20260621,17:00:17,-22.83,-47.18,9,5
5,20260621,17:00:04,-23.36,-46.76,20,13
6,20260621,12:13:04,36.69,9.93,20,8
7,20260621,20:38:23,31.25,-103.22,9,4
8,20260622,06:55:25,57.64,83.89,21,11
9,20260622,06:58:03,65.98,74.18,104,37
10,20260622,08:29:53,33.93,71.56,19,6
11,20260622,08:32:41,40.94,59.5,61,24
12,20260622,10:12:12,35.32,40.47,5,3
13,20260622,10:12:25,36.86,42.09,8,3
14,20260622,13:34:23,33.36,-7.46,32,12
15,20260623,04:55:20,60.45,120.23,18,9
16,20260623,08:13:17,41.22,68.94,23,17
17,20260623,08:15:56,52.1,74.41,42,13
18,20260623,20:01:17,33.51,-101.97,16,7
19,20260623,18:13:11,10.21,-71.32,66,24
20,20260624,04:09:47,-32.62,151.04,18,9
21,20260624,04:37:26,63.96,122.44,22,9
22,20260624,06:17:00,54.12,87.34,43,16
23,20260624,09:34:02,37.49,61.83,34,12
24,20260624,09:35:32,42.18,60.33,75,27
25,20260624,12:59:12,43.72,1.46,10,4
26,20260625,07:42:23,67.87,81.43,17,6
27,20260625,06:01:52,67.76,82.24,28,11
28,20260625,11:01:18,50.21,18.76,32,15
29,20260626,08:56:30,38.36,66.18,12,5
30,20260626,08:57:14,41.35,69.08,26,12
31,20260626,18:44:05,-35.48,-59.12,123,46
