date,time_UTC,lat,lon,source_rate_t/h,uncertainty_t/h,id,source_type,source_country,dist_to_nearest_known_source_km,datetime,sensor,emission_kg_hr,uncertainty_kg_hr,source
20241229,07:00:29,21.66,94.63,5,2,,,,,2024-12-29 07:00:29+00:00,TROPOMI (SRON),5000.0,2000.0,SRON Weekly Methane Plumes CSV (Schuit et al. 2023 method)
20241230,06:39:19,13.75,99.96,20,7,,,,,2024-12-30 06:39:19+00:00,TROPOMI (SRON),20000.0,7000.0,SRON Weekly Methane Plumes CSV (Schuit et al. 2023 method)
20250120,06:48:09,21.67,94.67,16,5,,,,,2025-01-20 06:48:09+00:00,TROPOMI (SRON),16000.0,5000.0,SRON Weekly Methane Plumes CSV (Schuit et al. 2023 method)
20250121,06:27:43,16.64,100.02,28,10,,,,,2025-01-21 06:27:43+00:00,TROPOMI (SRON),28000.0,10000.0,SRON Weekly Methane Plumes CSV (Schuit et al. 2023 method)
20250121,06:29:33,21.67,94.62,15,6,,,,,2025-01-21 06:29:33+00:00,TROPOMI (SRON),15000.0,6000.0,SRON Weekly Methane Plumes CSV (Schuit et al. 2023 method)
20250124,07:13:11,21.67,94.69,11,7,,,,,2025-01-24 07:13:11+00:00,TROPOMI (SRON),11000.0,7000.0,SRON Weekly Methane Plumes CSV (Schuit et al. 2023 method)
20250126,06:33:20,14.78,99.98,49,19,,,,,2025-01-26 06:33:20+00:00,TROPOMI (SRON),49000.0,19000.0,SRON Weekly Methane Plumes CSV (Schuit et al. 2023 method)
20250130,07:00:36,21.65,94.73,17,9,,,,,2025-01-30 07:00:36+00:00,TROPOMI (SRON),17000.0,9000.0,SRON Weekly Methane Plumes CSV (Schuit et al. 2023 method)
20250131,06:41:55,21.68,94.76,13,6,,,,,2025-01-31 06:41:55+00:00,TROPOMI (SRON),13000.0,6000.0,SRON Weekly Methane Plumes CSV (Schuit et al. 2023 method)
20250204,07:07:09,22.33,92.0,44,16,,,,,2025-02-04 07:07:09+00:00,TROPOMI (SRON),44000.0,16000.0,SRON Weekly Methane Plumes CSV (Schuit et al. 2023 method)
20250209,07:13:05,21.72,94.73,20,10,,,,,2025-02-09 07:13:05+00:00,TROPOMI (SRON),20000.0,10000.0,SRON Weekly Methane Plumes CSV (Schuit et al. 2023 method)
20250210,06:54:13,21.49,94.55,15,6,,,,,2025-02-10 06:54:13+00:00,TROPOMI (SRON),15000.0,6000.0,SRON Weekly Methane Plumes CSV (Schuit et al. 2023 method)
20250211,06:32:59,13.49,100.21,28,13,,,,,2025-02-11 06:32:59+00:00,TROPOMI (SRON),28000.0,13000.0,SRON Weekly Methane Plumes CSV (Schuit et al. 2023 method)
20250214,07:19:20,21.86,94.76,19,9,,,,,2025-02-14 07:19:20+00:00,TROPOMI (SRON),19000.0,9000.0,SRON Weekly Methane Plumes CSV (Schuit et al. 2023 method)
20250215,06:58:06,13.87,100.01,9,3,,,,,2025-02-15 06:58:06+00:00,TROPOMI (SRON),9000.0,3000.0,SRON Weekly Methane Plumes CSV (Schuit et al. 2023 method)
20250307,07:25:24,22.1,92.02,61,34,,,,,2025-03-07 07:25:24+00:00,TROPOMI (SRON),61000.0,34000.0,SRON Weekly Methane Plumes CSV (Schuit et al. 2023 method)
20250320,06:40:00,17.05,96.06,16,6,,,,,2025-03-20 06:40:00+00:00,TROPOMI (SRON),16000.0,6000.0,SRON Weekly Methane Plumes CSV (Schuit et al. 2023 method)
20250320,06:41:24,21.65,94.63,9,4,,,,,2025-03-20 06:41:24+00:00,TROPOMI (SRON),9000.0,4000.0,SRON Weekly Methane Plumes CSV (Schuit et al. 2023 method)
20251130,07:02:24,13.64,101.49,10,5,,,,,2025-11-30 07:02:24+00:00,TROPOMI (SRON),10000.0,5000.0,SRON Weekly Methane Plumes CSV (Schuit et al. 2023 method)
20260118,06:47:23,21.63,94.71,20,8,,,,,2026-01-18 06:47:23+00:00,TROPOMI (SRON),20000.0,8000.0,SRON Weekly Methane Plumes CSV (Schuit et al. 2023 method)
20260128,06:59:57,21.68,94.71,10,4,,,,,2026-01-28 06:59:57+00:00,TROPOMI (SRON),10000.0,4000.0,SRON Weekly Methane Plumes CSV (Schuit et al. 2023 method)
20260129,06:41:20,21.6,94.59,12,4,,,,,2026-01-29 06:41:20+00:00,TROPOMI (SRON),12000.0,4000.0,SRON Weekly Methane Plumes CSV (Schuit et al. 2023 method)
20260207,07:11:08,16.75,95.9,9,3,,,,,2026-02-07 07:11:08+00:00,TROPOMI (SRON),9000.0,3000.0,SRON Weekly Methane Plumes CSV (Schuit et al. 2023 method)
20260207,07:12:33,21.71,94.69,23,9,,,,,2026-02-07 07:12:33+00:00,TROPOMI (SRON),23000.0,9000.0,SRON Weekly Methane Plumes CSV (Schuit et al. 2023 method)
20260208,06:52:28,17.05,95.98,33,21,,,,,2026-02-08 06:52:28+00:00,TROPOMI (SRON),33000.0,21000.0,SRON Weekly Methane Plumes CSV (Schuit et al. 2023 method)
20260208,06:53:49,21.87,94.73,15,7,,,,,2026-02-08 06:53:49+00:00,TROPOMI (SRON),15000.0,7000.0,SRON Weekly Methane Plumes CSV (Schuit et al. 2023 method)
